trainerID,trainername,pokename
34,"Cooltrainer♀ Gwen",Vaporeon
34,"Cooltrainer♀ Gwen",Jolteon
34,"Cooltrainer♀ Gwen",Flareon
35,"Cooltrainer♀ Irene",Goldeen
35,"Cooltrainer♀ Irene",Seaking
36,"Cooltrainer♂ Jake",Parasect
36,"Cooltrainer♂ Jake",Golduck
37,"Cooltrainer♀ Jenn",Staryu
37,"Cooltrainer♀ Jenn",Starmie
38,"Cooltrainer♀ Joyce",Pikachu
38,"Cooltrainer♀ Joyce",Blastoise
39,"Cooltrainer♀ Kate",Shellder
39,"Cooltrainer♀ Kate",Cloyster
40,"Cooltrainer♀ Kelly",Marill
40,"Cooltrainer♀ Kelly",Wartortle
40,"Cooltrainer♀ Kelly",Wartortle
41,"Cooltrainer♂ Kevin",Rhyhorn
41,"Cooltrainer♂ Kevin",Charmeleon
41,"Cooltrainer♂ Kevin",Wartortle
42,"Cooltrainer♀ Lois",Skiploom
42,"Cooltrainer♀ Lois",Ninetales
43,"Cooltrainer♀ Lola",Dratini
43,"Cooltrainer♀ Lola",Dragonair
44,"Cooltrainer♀ Megan",Bulbasaur
44,"Cooltrainer♀ Megan",Ivysaur
44,"Cooltrainer♀ Megan",Venusaur
45,"Cooltrainer♂ Mike",Dragonair
46,"Cooltrainer♂ Nick",Charmander
46,"Cooltrainer♂ Nick",Bulbasaur
46,"Cooltrainer♂ Nick",Squirtle
47,"Cooltrainer♂ Paul",Dratini
47,"Cooltrainer♂ Paul",Dratini
47,"Cooltrainer♂ Paul",Dratini
48,"Cooltrainer♀ Quinn",Ivysaur
48,"Cooltrainer♀ Quinn",Starmie
49,"Cooltrainer♀ Reena",Starmie
49,"Cooltrainer♀ Reena",Starmie
49,"Cooltrainer♀ Reena",Nidoqueen
50,"Cooltrainer♀ Reena",Starmie
50,"Cooltrainer♀ Reena",Starmie
50,"Cooltrainer♀ Reena",Nidoqueen
51,"Cooltrainer♀ Reena",Starmie
51,"Cooltrainer♀ Reena",Starmie
51,"Cooltrainer♀ Reena",Nidoqueen
52,"Cooltrainer♂ Ryan",Pidgeot
52,"Cooltrainer♂ Ryan",Electabuzz
53,"Cooltrainer♂ Sean*",Flareon
53,"Cooltrainer♂ Sean*",Tangela
53,"Cooltrainer♂ Sean*",Tauros
54,"Cooltrainer♂ Albert",Manectric
54,"Cooltrainer♂ Albert",Muk
55,"Cooltrainer♀ Alexa",Gloom
55,"Cooltrainer♀ Alexa",Azumarill
56,"Cooltrainer♂ Berke",Zangoose
57,"Cooltrainer♀ Brooke",Wingull
57,"Cooltrainer♀ Brooke",Numel
57,"Cooltrainer♀ Brooke",Roselia
58,"Cooltrainer♀ Brooke",Wingull
58,"Cooltrainer♀ Brooke",Numel
58,"Cooltrainer♀ Brooke",Roselia
59,"Cooltrainer♀ Brooke",Pelipper
59,"Cooltrainer♀ Brooke",Numel
59,"Cooltrainer♀ Brooke",Roselia
60,"Cooltrainer♀ Brooke",Pelipper
60,"Cooltrainer♀ Brooke",Numel
60,"Cooltrainer♀ Brooke",Roselia
61,"Cooltrainer♀ Brooke",Pelipper
61,"Cooltrainer♀ Brooke",Camerupt
61,"Cooltrainer♀ Brooke",Roselia
62,"Cooltrainer♀ Caroline",Mawile
62,"Cooltrainer♀ Caroline",Sableye
63,"Cooltrainer♂ Clyde",Swellow
63,"Cooltrainer♂ Clyde",Trapinch
63,"Cooltrainer♂ Clyde",Wailmer
63,"Cooltrainer♂ Clyde",Magneton
63,"Cooltrainer♂ Clyde",Shiftry
64,"Cooltrainer♂ Edgar",Cacturne
65,"Cooltrainer♀ Elaine",Lairon
65,"Cooltrainer♀ Elaine",Manectric
66,"Cooltrainer♂ George",Linoone
67,"Cooltrainer♀ Hope",Roselia
68,"Cooltrainer♀ Jennifer",Milotic
69,"Cooltrainer♀ Jody",Zangoose
70,"Cooltrainer♀ Julie",Sandslash
70,"Cooltrainer♀ Julie",Ninetales
71,"Cooltrainer♂ Leroy",Mawile
71,"Cooltrainer♂ Leroy",Starmie
72,"Cooltrainer♀ Lori",Linoone
73,"Cooltrainer♀ Mary",Delcatty
74,"Cooltrainer♀ Michelle",Nosepass
74,"Cooltrainer♀ Michelle",Medicham
74,"Cooltrainer♀ Michelle",Ludicolo
75,"Cooltrainer♂ Owen",Kecleon
75,"Cooltrainer♂ Owen",Rhyhorn
75,"Cooltrainer♂ Owen",Tentacruel
76,"Cooltrainer♂ Parker",Linoone
77,"Cooltrainer♂ Randall",Delcatty
78,"Cooltrainer♂ Ruben",Shiftry
78,"Cooltrainer♂ Ruben",Graveler
78,"Cooltrainer♂ Ruben",Loudred
79,"Cooltrainer♂ Samuel",Dodrio
79,"Cooltrainer♂ Samuel",Lairon
79,"Cooltrainer♂ Samuel",Kadabra
80,"Cooltrainer♀ Shannon",Claydol
81,"Cooltrainer♂ Vincent",Sableye
81,"Cooltrainer♂ Vincent",Medicham
81,"Cooltrainer♂ Vincent",Sharpedo
82,"Cooltrainer♂ Vito",Swellow
82,"Cooltrainer♂ Vito",Kadabra
82,"Cooltrainer♂ Vito",Manectric
82,"Cooltrainer♂ Vito",Shiftry
83,"Cooltrainer♂ Warren",Graveler
83,"Cooltrainer♂ Warren",Magcargo
83,"Cooltrainer♂ Warren",Ludicolo
84,"Cooltrainer♀ Wendy",Mawile
84,"Cooltrainer♀ Wendy",Roselia
84,"Cooltrainer♀ Wendy",Pelipper
85,"Cooltrainer♂ Wilton",Electrike
85,"Cooltrainer♂ Wilton",Wailmer
85,"Cooltrainer♂ Wilton",Makuhita
86,"Cooltrainer♂ Wilton",Electrike
86,"Cooltrainer♂ Wilton",Wailmer
86,"Cooltrainer♂ Wilton",Makuhita
87,"Cooltrainer♂ Wilton",Manectric
87,"Cooltrainer♂ Wilton",Wailmer
87,"Cooltrainer♂ Wilton",Makuhita
88,"Cooltrainer♂ Wilton",Manectric
88,"Cooltrainer♂ Wilton",Wailmer
88,"Cooltrainer♂ Wilton",Makuhita
89,"Cooltrainer♂ Wilton",Manectric
89,"Cooltrainer♂ Wilton",Wailmer
89,"Cooltrainer♂ Wilton",Hariyama
90,"Cooltrainer♂ Zane",Kecleon
91,"Cooltrainer♂ Albert",Magneton
91,"Cooltrainer♂ Albert",Muk
92,"Cooltrainer♀ Alexa",Gloom
92,"Cooltrainer♀ Alexa",Azumarill
93,"Cooltrainer♀ Alexia",Wigglytuff
94,"Cooltrainer♀ Athena",Manectric
94,"Cooltrainer♀ Athena",Linoone
95,"Cooltrainer♂ Berke",Vigoroth
96,"Cooltrainer♂ Braxton",Swellow
96,"Cooltrainer♂ Braxton",Trapinch
96,"Cooltrainer♂ Braxton",Wailmer
96,"Cooltrainer♂ Braxton",Magneton
96,"Cooltrainer♂ Braxton",Shiftry
97,"Cooltrainer♀ Brooke",Wingull
97,"Cooltrainer♀ Brooke",Numel
97,"Cooltrainer♀ Brooke",Roselia
98,"Cooltrainer♀ Brooke",Wingull
98,"Cooltrainer♀ Brooke",Numel
98,"Cooltrainer♀ Brooke",Roselia
99,"Cooltrainer♀ Brooke",Pelipper
99,"Cooltrainer♀ Brooke",Numel
99,"Cooltrainer♀ Brooke",Roselia
100,"Cooltrainer♀ Brooke",Pelipper
100,"Cooltrainer♀ Brooke",Numel
100,"Cooltrainer♀ Brooke",Roselia
101,"Cooltrainer♀ Brooke",Pelipper
101,"Cooltrainer♀ Brooke",Camerupt
101,"Cooltrainer♀ Brooke",Roselia
102,"Cooltrainer♀ Carolina",Manectric
102,"Cooltrainer♀ Carolina",Swellow
102,"Cooltrainer♀ Carolina",Manectric
103,"Cooltrainer♀ Caroline",Skarmory
103,"Cooltrainer♀ Caroline",Sableye
104,"Cooltrainer♀ Cristin",Loudred
104,"Cooltrainer♀ Cristin",Vigoroth
105,"Cooltrainer♀ Cristin",Loudred
105,"Cooltrainer♀ Cristin",Vigoroth
106,"Cooltrainer♀ Cristin",Spinda
106,"Cooltrainer♀ Cristin",Loudred
106,"Cooltrainer♀ Cristin",Vigoroth
107,"Cooltrainer♀ Cristin",Spinda
107,"Cooltrainer♀ Cristin",Loudred
107,"Cooltrainer♀ Cristin",Vigoroth
108,"Cooltrainer♀ Cristin",Spinda
108,"Cooltrainer♀ Cristin",Exploud
108,"Cooltrainer♀ Cristin",Slaking
109,"Cooltrainer♀ Darcy",Pelipper
109,"Cooltrainer♀ Darcy",Camerupt
110,"Cooltrainer♀ Dianne",Claydol
110,"Cooltrainer♀ Dianne",Lanturn
111,"Cooltrainer♂ Edgar",Cacturne
111,"Cooltrainer♂ Edgar",Pelipper
112,"Cooltrainer♂ Felix",Medicham
112,"Cooltrainer♂ Felix",Claydol
113,"Cooltrainer♂ George",Slakoth
114,"Cooltrainer♂ Gerald",Kecleon
115,"Cooltrainer♀ Halle",Sableye
115,"Cooltrainer♀ Halle",Absol
116,"Cooltrainer♀ Hope",Roselia
117,"Cooltrainer♀ Jazmyn",Absol
118,"Cooltrainer♀ Jennifer",Sableye
119,"Cooltrainer♀ Jody",Zangoose
120,"Cooltrainer♂ Jonathan",Kecleon
120,"Cooltrainer♂ Jonathan",Loudred
121,"Cooltrainer♀ Julie",Sandslash
121,"Cooltrainer♀ Julie",Ninetales
121,"Cooltrainer♀ Julie",Tropius
122,"Cooltrainer♀ Katelynn",Gardevoir
122,"Cooltrainer♀ Katelynn",Slaking
123,"Cooltrainer♀ Keira",Lairon
123,"Cooltrainer♀ Keira",Manectric
124,"Cooltrainer♂ Leonel",Manectric
125,"Cooltrainer♂ Leroy",Mawile
125,"Cooltrainer♂ Leroy",Starmie
126,"Cooltrainer♂ Marcel",Manectric
126,"Cooltrainer♂ Marcel",Shiftry
127,"Cooltrainer♀ Marley",Manectric
128,"Cooltrainer♀ Mary",Delcatty
129,"Cooltrainer♀ Michelle",Torkoal
129,"Cooltrainer♀ Michelle",Medicham
129,"Cooltrainer♀ Michelle",Ludicolo
130,"Cooltrainer♂ Mitchell",Lunatone
130,"Cooltrainer♂ Mitchell",Solrock
131,"Cooltrainer♂ Owen",Kecleon
131,"Cooltrainer♂ Owen",Graveler
131,"Cooltrainer♂ Owen",Wailord
132,"Cooltrainer♂ Parker",Spinda
133,"Cooltrainer♂ Quincy",Slaking
133,"Cooltrainer♂ Quincy",Dusclops
134,"Cooltrainer♂ Randall",Swellow
135,"Cooltrainer♂ Ruben",Shiftry
135,"Cooltrainer♂ Ruben",Nosepass
136,"Cooltrainer♂ Samuel",Swellow
136,"Cooltrainer♂ Samuel",Mawile
136,"Cooltrainer♂ Samuel",Kadabra
137,"Cooltrainer♀ Shannon",Claydol
138,"Cooltrainer♂ Vincent",Sableye
138,"Cooltrainer♂ Vincent",Medicham
138,"Cooltrainer♂ Vincent",Sharpedo
139,"Cooltrainer♂ Vito",Dodrio
139,"Cooltrainer♂ Vito",Kadabra
139,"Cooltrainer♂ Vito",Electrode
139,"Cooltrainer♂ Vito",Shiftry
140,"Cooltrainer♂ Warren",Graveler
140,"Cooltrainer♂ Warren",Ludicolo
141,"Cooltrainer♀ Wendy",Mawile
141,"Cooltrainer♀ Wendy",Roselia
141,"Cooltrainer♀ Wendy",Pelipper
142,"Cooltrainer♂ Wilton",Electrike
142,"Cooltrainer♂ Wilton",Wailmer
142,"Cooltrainer♂ Wilton",Makuhita
143,"Cooltrainer♂ Wilton",Electrike
143,"Cooltrainer♂ Wilton",Wailmer
143,"Cooltrainer♂ Wilton",Makuhita
144,"Cooltrainer♂ Wilton",Manectric
144,"Cooltrainer♂ Wilton",Wailmer
144,"Cooltrainer♂ Wilton",Makuhita
145,"Cooltrainer♂ Wilton",Manectric
145,"Cooltrainer♂ Wilton",Wailmer
145,"Cooltrainer♂ Wilton",Makuhita
146,"Cooltrainer♂ Wilton",Manectric
146,"Cooltrainer♂ Wilton",Wailmer
146,"Cooltrainer♂ Wilton",Hariyama
147,"A-list Actor Alonso",Smeargle
148,"A-list Actor Ricardo",Smeargle
149,"Ace Duo Elina & Sean",Wailord
149,"Ace Duo Elina & Sean",Vileplume
150,"Ace Duo Jude & Rory",Armaldo
150,"Ace Duo Jude & Rory",Cradily
151,"Ace Duo Jude & Rory",Armaldo
151,"Ace Duo Jude & Rory",Cradily
152,"Ace Duo Pike & Shiel",Carvanha
152,"Ace Duo Pike & Shiel",Numel
153,"Ace Duo Kent and Aimee",Sandslash
153,"Ace Duo Kent and Aimee",Ninetales
154,"A-list Actor Alonso",Smeargle
155,"A-list Actor Ricardo",Smeargle
156,"Ace Duo Elina & Sean",Wailord
156,"Ace Duo Elina & Sean",Vileplume
157,"Ace Duo Jude & Rory",Armaldo
157,"Ace Duo Jude & Rory",Cradily
158,"Ace Duo Jude & Rory",Armaldo
158,"Ace Duo Jude & Rory",Cradily
159,"Ace Duo Pike & Shiel",Carvanha
159,"Ace Duo Pike & Shiel",Numel
160,"Ace Duo Kent and Aimee",Sandslash
160,"Ace Duo Kent and Aimee",Ninetales
161,"Cooltrainer♀",Weepinbell
161,"Cooltrainer♀",Gloom
161,"Cooltrainer♀",Ivysaur
162,"Cooltrainer♂",Nidorino
162,"Cooltrainer♂",Nidoking
163,"Cooltrainer♂",Sandslash
163,"Cooltrainer♂",Dugtrio
164,"Cooltrainer♂",Rhyhorn
165,"Cooltrainer♀",Persian
165,"Cooltrainer♀",Ninetales
166,"Cooltrainer♂",Ivysaur
166,"Cooltrainer♂",Wartortle
166,"Cooltrainer♂",Charmeleon
166,"Cooltrainer♂",Charizard
167,"Cooltrainer♂",Exeggutor
167,"Cooltrainer♂",Cloyster
167,"Cooltrainer♂",Arcanine
168,"Cooltrainer♀",Parasect
168,"Cooltrainer♀",Dewgong
168,"Cooltrainer♀",Chansey
169,"Cooltrainer♂",Kingler
169,"Cooltrainer♂",Tentacruel
169,"Cooltrainer♂",Blastoise
170,"Cooltrainer♀",Bellsprout
170,"Cooltrainer♀",Weepinbell
170,"Cooltrainer♀",Victreebel
171,"Cooltrainer♂ Aaron",Ivysaur
171,"Cooltrainer♂ Aaron",Charmeleon
171,"Cooltrainer♂ Aaron",Wartortle
172,"Cooltrainer♂ Allen",Charmeleon
173,"Cooltrainer♀ Beth",Rapidash
174,"Cooltrainer♀ Beth",Rapidash
175,"Cooltrainer♀ Beth",Rapidash
176,"Cooltrainer♂ Blake",Magneton
176,"Cooltrainer♂ Blake",Quagsire
176,"Cooltrainer♂ Blake",Exeggcute
177,"Cooltrainer♂ Brian",Sandslash
178,"Cooltrainer♀ CaraC",Horsea
178,"Cooltrainer♀ CaraC",Horsea
178,"Cooltrainer♀ CaraC",Horsea
179,"Cooltrainer♀ Carol*",Electrode
179,"Cooltrainer♀ Carol*",Starmie
179,"Cooltrainer♀ Carol*",Ninetales
180,"Cooltrainer♂Cody",Horsea
180,"Cooltrainer♂Cody",Seadra
181,"Cooltrainer♀ Cybil",Butterfree
181,"Cooltrainer♀ Cybil",Bellossom
182,"Cooltrainer♂ DarinC",Dragonair
183,"Cooltrainer♀ Emma",Poliwhirl
184,"Cooltrainer♀ Fran",Seadra
185,"Cooltrainer♂ Gaven",Victreebel
185,"Cooltrainer♂ Gaven",Kingler
185,"Cooltrainer♂ Gaven",Flareon
186,"Cooltrainer♂ Gaven",Victreebel
186,"Cooltrainer♂ Gaven",Kingler
186,"Cooltrainer♂ Gaven",Flareon
187,"Cooltrainer♂ Gaven",Victreebel
187,"Cooltrainer♂ Gaven",Kingler
187,"Cooltrainer♂ Gaven",Flareon
188,"Cooltrainer♀ Gwen",Eevee
188,"Cooltrainer♀ Gwen",Vaporeon
188,"Cooltrainer♀ Gwen",Jolteon
188,"Cooltrainer♀ Gwen",Flareon
189,"Cooltrainer♀ Irene",Goldeen
189,"Cooltrainer♀ Irene",Seaking
190,"Cooltrainer♂ Jake",Parasect
190,"Cooltrainer♂ Jake",Golduck
191,"Cooltrainer♀ Jenn",Staryu
191,"Cooltrainer♀ Jenn",Starmie
192,"Cooltrainer♀ Joyce",Pikachu
192,"Cooltrainer♀ Joyce",Blastoise
193,"Cooltrainer♀ Kate",Shellder
193,"Cooltrainer♀ Kate",Cloyster
194,"Cooltrainer♀ Kelly",Marill
194,"Cooltrainer♀ Kelly",Wartortle
194,"Cooltrainer♀ Kelly",Wartortle
195,"Cooltrainer♂ Kevin",Rhyhorn
195,"Cooltrainer♂ Kevin",Charmeleon
195,"Cooltrainer♂ Kevin",Wartortle
196,"Cooltrainer♀ Lois",Skiploom
196,"Cooltrainer♀ Lois",Ninetales
197,"Cooltrainer♀ Lola",Dratini
197,"Cooltrainer♀ Lola",Dragonair
198,"Cooltrainer♀ Megan",Bulbasaur
198,"Cooltrainer♀ Megan",Ivysaur
198,"Cooltrainer♀ Megan",Venusaur
199,"Cooltrainer♂ Mike",Dragonair
200,"Cooltrainer♂ Nick",Charmander
200,"Cooltrainer♂ Nick",Bulbasaur
200,"Cooltrainer♂ Nick",Squirtle
201,"Cooltrainer♂ Paul",Dratini
201,"Cooltrainer♂ Paul",Dratini
201,"Cooltrainer♂ Paul",Dratini
202,"Cooltrainer♀ Quinn",Ivysaur
202,"Cooltrainer♀ Quinn",Starmie
203,"Cooltrainer♀ Reena",Starmie
203,"Cooltrainer♀ Reena",Starmie
203,"Cooltrainer♀ Reena",Nidoqueen
204,"Cooltrainer♀ Reena",Starmie
204,"Cooltrainer♀ Reena",Starmie
204,"Cooltrainer♀ Reena",Nidoqueen
205,"Cooltrainer♀ Reena",Starmie
205,"Cooltrainer♀ Reena",Starmie
205,"Cooltrainer♀ Reena",Nidoqueen
206,"Cooltrainer♂ Ryan",Pidgeot
206,"Cooltrainer♂ Ryan",Electabuzz
207,"Cooltrainer♂ Sean*",Flareon
207,"Cooltrainer♂ Sean*",Tangela
207,"Cooltrainer♂ Sean*",Tauros
208,"Cooltrainer♂ Albert",Manectric
208,"Cooltrainer♂ Albert",Muk
209,"Cooltrainer♀ Alexa",Gloom
209,"Cooltrainer♀ Alexa",Azumarill
210,"Cooltrainer♂ Berke",Zangoose
211,"Cooltrainer♀ Brooke",Wingull
211,"Cooltrainer♀ Brooke",Numel
211,"Cooltrainer♀ Brooke",Roselia
212,"Cooltrainer♀ Brooke",Wingull
212,"Cooltrainer♀ Brooke",Numel
212,"Cooltrainer♀ Brooke",Roselia
213,"Cooltrainer♀ Brooke",Pelipper
213,"Cooltrainer♀ Brooke",Numel
213,"Cooltrainer♀ Brooke",Roselia
214,"Cooltrainer♀ Brooke",Pelipper
214,"Cooltrainer♀ Brooke",Numel
214,"Cooltrainer♀ Brooke",Roselia
215,"Cooltrainer♀ Brooke",Pelipper
215,"Cooltrainer♀ Brooke",Camerupt
215,"Cooltrainer♀ Brooke",Roselia
216,"Cooltrainer♀ Caroline",Mawile
216,"Cooltrainer♀ Caroline",Sableye
217,"Cooltrainer♂ Clyde",Swellow
217,"Cooltrainer♂ Clyde",Trapinch
217,"Cooltrainer♂ Clyde",Wailmer
217,"Cooltrainer♂ Clyde",Magneton
217,"Cooltrainer♂ Clyde",Shiftry
218,"Cooltrainer♂ Edgar",Cacturne
219,"Cooltrainer♀ Elaine",Lairon
219,"Cooltrainer♀ Elaine",Manectric
220,"Cooltrainer♂ George",Linoone
221,"Cooltrainer♀ Hope",Roselia
222,"Cooltrainer♀ Jennifer",Milotic
223,"Cooltrainer♀ Jody",Zangoose
224,"Cooltrainer♀ Julie",Sandslash
224,"Cooltrainer♀ Julie",Ninetales
225,"Cooltrainer♂ Leroy",Mawile
225,"Cooltrainer♂ Leroy",Starmie
226,"Cooltrainer♀ Lori",Linoone
227,"Cooltrainer♀ Mary",Delcatty
228,"Cooltrainer♀ Michelle",Nosepass
228,"Cooltrainer♀ Michelle",Medicham
228,"Cooltrainer♀ Michelle",Ludicolo
229,"Cooltrainer♂ Owen",Kecleon
229,"Cooltrainer♂ Owen",Rhyhorn
229,"Cooltrainer♂ Owen",Tentacruel
230,"Cooltrainer♂ Parker",Linoone
231,"Cooltrainer♂ Randall",Delcatty
232,"Cooltrainer♂ Ruben",Shiftry
232,"Cooltrainer♂ Ruben",Graveler
232,"Cooltrainer♂ Ruben",Loudred
233,"Cooltrainer♂ Samuel",Dodrio
233,"Cooltrainer♂ Samuel",Lairon
233,"Cooltrainer♂ Samuel",Kadabra
234,"Cooltrainer♀ Shannon",Claydol
235,"Cooltrainer♂ Vincent",Sableye
235,"Cooltrainer♂ Vincent",Medicham
235,"Cooltrainer♂ Vincent",Sharpedo
236,"Cooltrainer♂ Vito",Swellow
236,"Cooltrainer♂ Vito",Kadabra
236,"Cooltrainer♂ Vito",Manectric
236,"Cooltrainer♂ Vito",Shiftry
237,"Cooltrainer♂ Warren",Graveler
237,"Cooltrainer♂ Warren",Magcargo
237,"Cooltrainer♂ Warren",Ludicolo
238,"Cooltrainer♀ Wendy",Mawile
238,"Cooltrainer♀ Wendy",Roselia
238,"Cooltrainer♀ Wendy",Pelipper
239,"Cooltrainer♂ Wilton",Electrike
239,"Cooltrainer♂ Wilton",Wailmer
239,"Cooltrainer♂ Wilton",Makuhita
240,"Cooltrainer♂ Wilton",Electrike
240,"Cooltrainer♂ Wilton",Wailmer
240,"Cooltrainer♂ Wilton",Makuhita
241,"Cooltrainer♂ Wilton",Manectric
241,"Cooltrainer♂ Wilton",Wailmer
241,"Cooltrainer♂ Wilton",Makuhita
242,"Cooltrainer♂ Wilton",Manectric
242,"Cooltrainer♂ Wilton",Wailmer
242,"Cooltrainer♂ Wilton",Makuhita
243,"Cooltrainer♂ Wilton",Manectric
243,"Cooltrainer♂ Wilton",Wailmer
243,"Cooltrainer♂ Wilton",Hariyama
244,"Cooltrainer♂ Zane",Kecleon
245,"Cooltrainer♂ Albert",Magneton
245,"Cooltrainer♂ Albert",Muk
246,"Cooltrainer♀ Alexa",Gloom
246,"Cooltrainer♀ Alexa",Azumarill
247,"Cooltrainer♀ Alexia",Wigglytuff
248,"Cooltrainer♀ Athena",Manectric
248,"Cooltrainer♀ Athena",Linoone
249,"Cooltrainer♂ Berke",Vigoroth
250,"Cooltrainer♂ Braxton",Swellow
250,"Cooltrainer♂ Braxton",Trapinch
250,"Cooltrainer♂ Braxton",Wailmer
250,"Cooltrainer♂ Braxton",Magneton
250,"Cooltrainer♂ Braxton",Shiftry
251,"Cooltrainer♀ Brooke",Wingull
251,"Cooltrainer♀ Brooke",Numel
251,"Cooltrainer♀ Brooke",Roselia
252,"Cooltrainer♀ Brooke",Wingull
252,"Cooltrainer♀ Brooke",Numel
252,"Cooltrainer♀ Brooke",Roselia
253,"Cooltrainer♀ Brooke",Pelipper
253,"Cooltrainer♀ Brooke",Numel
253,"Cooltrainer♀ Brooke",Roselia
254,"Cooltrainer♀ Brooke",Pelipper
254,"Cooltrainer♀ Brooke",Numel
254,"Cooltrainer♀ Brooke",Roselia
255,"Cooltrainer♀ Brooke",Pelipper
255,"Cooltrainer♀ Brooke",Camerupt
255,"Cooltrainer♀ Brooke",Roselia
256,"Cooltrainer♀ Carolina",Manectric
256,"Cooltrainer♀ Carolina",Swellow
256,"Cooltrainer♀ Carolina",Manectric
257,"Cooltrainer♀ Caroline",Skarmory
257,"Cooltrainer♀ Caroline",Sableye
258,"Cooltrainer♀ Cristin",Loudred
258,"Cooltrainer♀ Cristin",Vigoroth
259,"Cooltrainer♀ Cristin",Loudred
259,"Cooltrainer♀ Cristin",Vigoroth
260,"Cooltrainer♀ Cristin",Spinda
260,"Cooltrainer♀ Cristin",Loudred
260,"Cooltrainer♀ Cristin",Vigoroth
261,"Cooltrainer♀ Cristin",Spinda
261,"Cooltrainer♀ Cristin",Loudred
261,"Cooltrainer♀ Cristin",Vigoroth
262,"Cooltrainer♀ Cristin",Spinda
262,"Cooltrainer♀ Cristin",Exploud
262,"Cooltrainer♀ Cristin",Slaking
263,"Cooltrainer♀ Darcy",Pelipper
263,"Cooltrainer♀ Darcy",Camerupt
264,"Cooltrainer♀ Dianne",Claydol
264,"Cooltrainer♀ Dianne",Lanturn
265,"Cooltrainer♂ Edgar",Cacturne
265,"Cooltrainer♂ Edgar",Pelipper
266,"Cooltrainer♂ Felix",Medicham
266,"Cooltrainer♂ Felix",Claydol
267,"Cooltrainer♂ George",Slakoth
268,"Cooltrainer♂ Gerald",Kecleon
269,"Cooltrainer♀ Halle",Sableye
269,"Cooltrainer♀ Halle",Absol
270,"Cooltrainer♀ Hope",Roselia
271,"Cooltrainer♀ Jazmyn",Absol
272,"Cooltrainer♀ Jennifer",Sableye
273,"Cooltrainer♀ Jody",Zangoose
274,"Cooltrainer♂ Jonathan",Kecleon
274,"Cooltrainer♂ Jonathan",Loudred
275,"Cooltrainer♀ Julie",Sandslash
275,"Cooltrainer♀ Julie",Ninetales
